noise_multiplier,batch_size,epochs,max_grad_norm,learning_rate,epsilon,accuracy,final_loss
0.5,64,10,1.0,0.1,3.383366705817834,0.6974832452570411,1.8246396354845824
0.5,64,15,1.0,0.1,3.7237995207090195,0.7565044848043087,1.3406005940044974
0.5,128,10,1.0,0.2,4.419405035904095,0.6976654720686792,1.825511096132234
0.5,128,15,1.0,0.2,4.935228492891972,0.7555123610520561,1.341309066919774
0.5,256,10,1.0,0.4,5.806198764952262,0.6971795339043106,1.825221966585347
0.5,256,15,1.0,0.4,6.6050565417197165,0.7567879487335236,1.3340192789240821
0.7,64,10,1.0,0.1,0.6154523426187616,0.6925023790722631,1.847452893047067
0.7,64,15,1.0,0.1,0.7379973866644378,0.7518678248192917,1.3654684528858096
0.7,128,10,1.0,0.2,0.9552165546945884,0.695498997752536,1.833166892432796
0.7,128,15,1.0,0.2,1.1273761694268438,0.7528801959950596,1.3523484862221338
0.7,256,10,1.0,0.4,1.4710105199450343,0.6981311628095325,1.830533856400554
0.7,256,15,1.0,0.4,1.7165792580741694,0.7550061754641721,1.3442199529761478
1.0,64,10,1.0,0.1,0.2629355453217059,0.6831480694081679,1.8846159793815451
1.0,64,15,1.0,0.1,0.3242338353184425,0.7402660511449918,1.402209310729333
1.0,128,10,1.0,0.2,0.38246360895358683,0.6908825851910344,1.8505895743098284
1.0,128,15,1.0,0.2,0.4718780287856789,0.7489319484095649,1.3723323656332924
1.0,256,10,1.0,0.4,0.5611385618061266,0.6964303792342424,1.8423301015493165
1.0,256,15,1.0,0.4,0.6917402037697356,0.7559375569458786,1.3528264875239042
1.1,64,10,1.0,0.1,0.22486066335921895,0.676365182530523,1.9134662686175885
1.1,64,15,1.0,0.1,0.27719999391761324,0.7379173500172103,1.4353475503485915
1.1,128,10,1.0,0.2,0.3256631662544372,0.6885541314867684,1.8589790754522066
1.1,128,15,1.0,0.2,0.40199266629512265,0.7495798659620563,1.381466060606618
1.1,256,10,1.0,0.4,0.4753413348212088,0.6936969770596692,1.8489637075310543
1.1,256,15,1.0,0.4,0.5868271755919524,0.7528194537245135,1.3557966768432774
